venta fennel 9
listado h
venta orange_juice 63
venta juice 9
compra salt 50
compra onion 97
unidades salt
compra carrot 59
venta onion 98
listado
venta onion 80
listado
unidades onion
unidades salad
unidades onion
listado f
venta carrot 86
unidades herring
venta salt 10
venta salt 38
compra cauliflower 58
venta salt 62
compra macaroni 63
compra cod 29
unidades cauliflower
unidades salt
unidades macaroni
unidades carrot
compra sage 56
venta cod 60
listado
unidades onion
compra pumpkin 85
venta macaroni 54
compra fig 100
unidades cheeseburger
venta onion 63
compra tarragon 76
compra garlic 85
compra dill 56
unidades dill
unidades dill
venta carrot 61
unidades garlic
compra french_fries 67
compra noodles 50
compra pink_lemonade 4
venta french_fries 11
compra nutmeg 52
unidades pumpkin
unidades cauliflower
compra macaroni 63
venta cumin 76
unidades beet
unidades macaroni
compra strawberry 97
venta chick_peas 59
venta cod 92
compra bell_pepper 44
compra herring 31
unidades mango
venta carrot 37
venta macaroni 58
listado y
venta pumpkin 73
unidades pink_lemonade
listado
venta french_fries 65
compra salmon 18
venta macaroni 15
venta macaroni 28
listado
unidades bell_pepper
listado
listado
unidades beet
venta strawberry 39
compra macaroni 6
unidades macaroni
compra orange_juice 40
compra turnip 83
venta cod 67
compra tarragon 12
listado b
venta cauliflower 78
venta potato 55
compra juice 10
venta strawberry 96
venta pink_lemonade 85
venta macaroni 100
compra macaroni 98
listado m
listado a
venta herring 78
unidades onion
venta ketchup 91
unidades bell_pepper
venta cauliflower 91
compra asparagus 53
compra red_wine 49
compra carrot 41
venta carrot 39
unidades fig
venta macaroni 43
unidades onion
unidades macaroni
listado d
unidades sage
venta macaroni 15
